sessdef,scope,measure,n_trig,n_opp,trig,opp,diff,ci_lo,ci_hi,p
BROKER,opens AT/ABOVE Fri low (tradeable),mfe_down_atr,404,555,0.523089221862663,0.37406101247955015,0.1490282093831129,0.06976264237705136,0.23002764273578077,0.0026666666666666666
BROKER,opens AT/ABOVE Fri low (tradeable),mfe_up_atr,404,555,0.5146185812038133,0.41800471618279944,0.09661386502101388,0.032180268062809186,0.16544502813126238,0.0013333333333333333
BROKER,opens AT/ABOVE Fri low (tradeable),first_move_dn,404,555,0.42574257425742573,0.390990990990991,0.03475158326643474,-0.03943253906747996,0.11019186176759016,0.4013333333333333
BROKER,opens AT/ABOVE Fri low (tradeable),or15_dn,404,555,0.4405940594059406,0.4864864864864865,-0.04589242708054592,-0.12612141628259801,0.024697011873298858,0.228
BROKER,opens AT/ABOVE Fri low (tradeable),or30_dn,404,555,0.4207920792079208,0.4900900900900901,-0.0692980108821693,-0.14787928439864054,0.011556523126815035,0.08
BROKER,opens AT/ABOVE Fri low (tradeable),dir60_up,404,555,0.5420792079207921,0.4810810810810811,0.06099812683971101,-0.014129412325531217,0.14079442822427077,0.12933333333333333
BROKER,opens AT/ABOVE Fri low (tradeable),pen_after_Blow_atr,165,129,0.5641757266417052,0.3896365188910355,0.17453920775066972,0.038577362315543276,0.3165186941727735,0.009333333333333334
BROKER,opens AT/ABOVE Fri low (tradeable),bounce_after_Blow_atr,165,129,0.43142206512157916,0.3747056833795807,0.056716381741998445,-0.03177479139561725,0.1451866885261974,0.19733333333333333
BROKER,opens AT/ABOVE Fri low (tradeable),mae_before_Blow_atr,165,129,0.1888892581139867,0.15412096723999608,0.03476829087399064,-0.015951511445164296,0.08309403731527107,0.18
BROKER,opens INSIDE Fri range,touch_Blow,351,457,0.45584045584045585,0.26695842450765866,0.18888203133279718,0.10782436273786085,0.267907668359823,0.0
BROKER,opens INSIDE Fri range,seq_low_first,351,457,0.3903133903133903,0.24288840262582057,0.14742498768756973,0.07007699366667021,0.22089723486340998,0.0
BROKER,opens INSIDE Fri range,Blow_by30,351,457,0.09401709401709402,0.028446389496717725,0.06557070452037629,0.02955843116127326,0.10778352321876844,0.0
BROKER,opens INSIDE Fri range,Blow_by60,351,457,0.10826210826210826,0.037199124726477024,0.07106298353563123,0.02860659930635903,0.11128074236439396,0.0
BROKER,opens INSIDE Fri range,net30_atr,351,457,0.002980603177371763,-0.0034472166604296306,0.006427819837801394,-0.019638128137072497,0.03647348536109906,0.6586666666666666
BROKER,opens INSIDE Fri range,net60_atr,351,457,-0.0031374107851095665,-0.0036662729547137247,0.0005288621696041581,-0.028508860924767027,0.03322849184358916,0.9333333333333333
BROKER,opens INSIDE Fri range,ret_close_atr,351,457,0.07001142941715226,0.10196854191179214,-0.03195711249463988,-0.1438080188771931,0.07569183968973361,0.6186666666666667
