sessdef,variable,outcome,n,model,coef_std,ci_lo,ci_hi,p_cluster,bh_rank,bh_crit,survives_BH05
BROKER,B_below_Aclose,seq_low_first,475,logit,-0.059904754377293895,-0.38924368901904116,0.28321690458076704,0.7166666666666667,65.0,0.03869047619047619,False
BROKER,B_below_Aclose,dn60_atr,475,ols,0.0034306514450486826,-0.011985132624316597,0.01915948883935376,0.7166666666666667,66.0,0.03928571428571429,False
BROKER,B_below_Aclose,net60_atr,475,ols,0.003147064480547691,-0.024161119719032027,0.03486292607024436,0.9066666666666666,82.0,0.048809523809523817,False
BROKER,B_below_Aclose,ret_close_atr,475,ols,-0.09202166752098594,-0.20756367525071975,0.021447835561698884,0.12666666666666668,16.0,0.009523809523809525,False
BROKER,B_below_Aclose,mfe_down_atr,475,ols,0.04882300205422232,-0.01694179659763003,0.11495464802090401,0.14333333333333334,18.0,0.010714285714285714,False
BROKER,A_range_atr,touch_Blow,475,logit,0.04374688299182424,-0.18997144591512932,0.2982366273329787,0.7633333333333333,70.0,0.041666666666666664,False
BROKER,A_range_atr,seq_low_first,475,logit,-0.005053731261804319,-0.3003074945684509,0.2991346725680868,0.9433333333333334,83.0,0.04940476190476191,False
BROKER,A_range_atr,dn60_atr,475,ols,0.014767156351847591,-0.003620128329360853,0.03521436304202412,0.13333333333333333,17.0,0.01011904761904762,False
BROKER,A_range_atr,net60_atr,475,ols,0.013941215173277193,-0.01808236284762307,0.04810518983547356,0.47333333333333333,47.0,0.027976190476190477,False
BROKER,A_range_atr,ret_close_atr,475,ols,-0.012208981454226994,-0.13040291836821338,0.10222093649286912,0.8566666666666667,79.0,0.04702380952380952,False
BROKER,A_range_atr,mfe_down_atr,475,ols,0.05741175483040237,-0.01608249840749698,0.13686388657811718,0.17666666666666667,23.0,0.013690476190476192,False
BROKER,A_close_loc,touch_Blow,475,logit,0.16116509083141473,-0.08755038544821941,0.44381973013059833,0.21666666666666667,30.0,0.017857142857142856,False
